Symbol,Market_cap,Enterprise_value,Price_to_sale,Price_to_book,Value_to_revenue,Value_to_EBITDA,Profit_margin,Operating_margin,Return_on_asset,Return_on_equity,Revenue,Revenue_per_share,Quarterly_revenue_growth,Gross_profit,EBITDA,Netincome_avi_to_common,Dilutted_eps,Total_cash,Total_cash_per_share,Total_debt,Total_debt_to_equity,Current_ratio,Book_value_per_share,Operating_cash_flow,Levered_Free_cash_flow,current_price,last_quarter_price,last_year_price
AAOI,195120000.0,305850000.0,0.77,0.7,5.74,-37.67,-0.25329999999999997,-0.2688,-0.0733,-0.2006,209480000.0,8.06,-0.305,50540000.0,-30730000.0,-53060000.0,-2.04,43530000.0,1.6,154020000.0,58.35,2.15,9.71,-25490000.0,-15280000.0,7.179999828338623,8.470000267028809,11.25
AAPL,2320000000000.0,2380000000000.0,6.94,36.16,28.6,88.61,0.2588,0.2978,0.2018,1.4744,365820000000.0,21.9,0.28800000000000003,152840000000.0,120230000000.0,94680000000.0,5.61,62640000000.0,3.82,136520000000.00002,216.39,1.08,3.84,104040000000.0,73300000000.0,141.29379272460938,136.55581665039062,114.9021987915039
AATC,39590000.0,31200000.0,2.94,1.92,9.53,33.26,0.22149999999999997,0.1467,0.0564,0.145,12920000.0,2.42,-0.127,10390000.0,2060000.0,2860000.0,0.54,8500000.0,1.58,111000.0,0.54,18.15,3.84,2530000.0,1560000.0,7.245084285736084,6.567469596862793,3.4539310932159424
AAWW,2370000000.0,4330000000.0,0.65,0.95,4.26,15.79,0.1317,0.16879999999999998,0.0664,0.2157,3800000000.0,133.42,0.255,1090000000.0,944600000.0,500540000.0,16.92,773910000.0,26.66,2620000000.0,99.88,0.8,90.41,835770000.0,196030000.0,81.68000030517578,68.11000061035156,60.900001525878906
ABMD,14810000000.0,14290000000.0,15.88,11.33,57.58,211.97,0.1532,0.2692,0.11460000000000001,0.1162,973640000.0,21.49,0.183,685620000.0,288180000.0,149150000.0,3.26,650560000.0,14.3,7850000.0,0.57,7.64,30.43,281540000.0,170230000.0,325.5199890136719,312.1099853515625,277.05999755859375
ABVC,61630000.0,66920000.0,108.49,44.8,676.01,-34.85,0.0,-22.1804,-0.6692,-3.1584,455780.0,0.02,-0.14300000000000002,464330.0,-10090000.0,-9750000.0,-0.418,3830000.0,0.14,3500000.0,46.13,2.07,0.31,-8710000.0,-6280000.0,2.309999942779541,5.050000190734863,4.0
ACAD,2670000000.0,2180000000.0,5.72,4.73,16.55,-152.19,-0.40380000000000005,-0.2954,-0.1158,-0.3135,474390000.0,2.97,0.092,154880000.0,-136500000.0,-191540000.0,-1.2,540290000.0,3.36,65830000.0,11.61,7.26,3.53,-130030000.0,-37920000.0,16.610000610351562,24.389999389648438,41.25
ACB,1360000000.0,1340000000.0,6.09,0.86,22.33,48.22,-2.5469999999999997,-1.1936,-0.0667,-0.2904,237770000.0,1.26,-0.111,-21560000.0,-205780000.0,-606700000.0,-2.49,375270000.0,1.89,406780000.0,20.09,5.42,10.22,-123980000.0,-161700000.0,6.920000076293945,9.039999961853027,4.650000095367432
ACCD,3140000000.0,3000000000.0,14.36,7.19,40.9,-47.27,-0.5744,-0.43670000000000003,-0.0819,-0.28600000000000003,230490000.0,4.62,0.992,76690000.0,-80950000.0,-132389999.99999999,-2.65,384000000.0,5.76,279850000.0,38.15,1.67,11.06,-40520000.0,160410000.0,42.16999816894531,54.310001373291016,38.869998931884766
ACET,250530000.0,62340000.0,26.93,1.1,18.18,-4.6,0.0,-4.8635,-0.14429999999999998,-0.3301,9670000.0,0.35,0.132,17900000.0,-45550000.0,-55140000.0,-2.01,192230000.0,6.01,20540000.0,9.45,9.94,6.8,-50950000.0,-36550000.0,7.840000152587891,10.289999961853027,11.890000343322754
